English,Spanish,Portuguese
kind,tipo,Gentil
wrong,equivocado,errado
through,mediante,Através dos
talking,hablando,falando
made,hecho,fez
new,nuevo,novo
being,ser,sendo
guess,adivinar,adivinhar
hi,Hola,Oi
care,cuidado,Cuidado
bad,malo,mau
mom,mamá,mãe
remember,recordar,lembrar
getting,consiguiendo,obtendo
we'll,bien,Nós vamos
together,juntos,junto
dad,padre,Papai
leave,abandonar,deixar
mother,madre,mãe
place,sitio,"Lugar, colocar"
understand,comprender,Compreendo
wouldn't,no,não iria
actually,Realmente,na realidade
hear,oír,ouvir
baby,bebé,bebê
nice,bonito,bom
father,padre,pai
else,demás,outro
stay,permanecer,ficar
done,hecho,feito
wasn't,no estaba,não era
their,sus,seus
course,curso,curso
might,puede que,poderia
mind,mente,mente
every,todos,cada
enough,suficiente,o suficiente
try,intentar,experimentar
hell,infierno,inferno
came,llegó,veio
someone,alguien,alguém
you'll,Vas,você vai
own,propio,ter
family,familia,família
whole,entero,inteira
another,otro,outro
house,casa,casa
jack,Jacobo,Jack
yourself,usted mismo,você mesmo
idea,ocurrencia,idéia
ask,preguntar,perguntar
best,mejor,melhor
must,deber,deve
coming,viniendo,chegando
old,viejo,velho
looking,buscando,Procurando
woman,mujer,mulher
hello,Hola,Olá
which,cuales,qual
years,años,anos
room,habitación,quarto
money,dinero,dinheiro
left,izquierda,deixou
knew,supo,sabia
tonight,esta noche,esta noite
real,verdadero,real
son,hijo,filho
hope,esperanza,esperança
name,nombre,nome
same,mismo,mesmo
went,fue,foi
um,um,hum
hmm,mmm,hum
happy,contento,feliz
pretty,bonita,bonito
saw,vio,Viu
girl,niña,garota
sir,señor,senhor
show,show,mostrar
friend,amigo,amigo
already,ya,já
saying,dicho,dizendo
may,mayo,poderia
next,próximo,Próximo
three,Tres,três
job,trabajo,emprego
problem,problema,problema
minute,minuto,minuto
found,encontró,encontrado
world,mundo,mundo
thinking,pensando,pensando
haven't,no he,não
heard,Escuchó,ouvi
honey,miel,querida
matter,asunto,importar
myself,yo mismo,Eu mesmo
couldn't,no podía,não podia
exactly,exactamente,exatamente
having,teniendo,tendo
ah,ah,ah.
probably,probablemente,provavelmente
happen,suceder,acontecer
we've,Hemos,Nós temos
hurt,lastimar,ferir
boy,chico,Garoto
both,ambas cosas,Ambas
while,tiempo,enquanto
dead,muerto,morto
gotta,tengo que,Tenho que
alone,solo,sozinho
since,ya que,desde
excuse,excusa,com licença
start,comienzo,começar
kill,matar,matar
hard,duro,Difícil
you'd,usted,você
today,hoy dia,hoje
car,coche,carro
ready,Listo,pronto
until,hasta,até
without,sin,sem
whatever,lo que,qualquer que seja
wants,quiere,quer
hold,retener,espera
wanna,querer,quer
yet,aún,ainda
seen,visto,visto
deal,trato,acordo
took,tomó,tomou
once,una vez,uma vez
gone,desaparecido,se foi
called,llamada,chamado
morning,Mañana,manhã
supposed,supuesto,suposto
friends,amigos,amigos
head,cabeza,cabeça
stuff,cosas,material
most,la mayoría,a maioria
used,usado,usado
worry,preocuparse,preocupar
second,segundo,segundo
part,parte,papel
live,En Vivo,viver
truth,verdad,verdade
school,escuela,escola
face,rostro,rosto
forget,olvidar,esqueço
TRUE,CIERTO,VERDADEIRO
business,negocio,o negócio
each,cada,cada
cause,porque,causa
soon,pronto,em breve
knows,sabe,sabe
few,pocos,alguns
telling,narración,Dizer
wife,esposa,esposa
who's,quien es,quem é
use,utilizar,usar
chance,oportunidad,chance
run,correr,corre
move,moverse,mover
anyone,alguien,alguém
person,persona,pessoa
bye,adiós,tchau
somebody,alguien,alguém
dr.,Dr.,dr.
heart,corazón,coração
such,tal,tal
miss,extranar,senhorita
married,casado,casado
point,punto,apontar
later,luego,mais tarde
making,haciendo,fazer
meet,reunirse,Conheçer
anyway,de todas formas,de qualquer forma
many,muchos,vários
phone,teléfono,telefone
reason,razón,razão
damn,maldita sea,droga
lost,perdió,perdido
looks,mira,visual
bring,traer,trazer
case,caso,caso
turn,girar,virar
wish,deseo,desejar
tomorrow,mañana,amanhã
kids,niños,crianças
trust,confianza,Confiar em
check,cheque,Verifica
change,cambiar,mudança
end,fin,fim
late,tarde,atrasado
anymore,ya no,não mais
five,cinco,cinco
least,menos,ao menos
town,ciudad,Cidade
aren't,no son,não são
ha,decir ah,ha.
working,laboral,trabalhando
year,año,ano
makes,hace,faz
taking,tomando,tirando
means,medio,meios
brother,hermano,irmão
play,tocar,Toque
hate,odio,odiar
ago,atrás,atrás
says,dice,diz
beautiful,hermosa,lindo
gave,dio,deram
fact,hecho,facto
crazy,loco,louco
party,fiesta,Festa
sit,sentar,sentar
open,abierto,abrir
afraid,asustado,com medo
between,Entre,entre
important,importante,importante
rest,descanso,descanso
fun,divertida,Diversão
kid,niño,miúdo
word,palabra,palavra
watch,reloj,assistir
glad,contento,Alegre
everyone,todos,todo o mundo
days,dias,dias
sister,hermana,irmã
minutes,minutos,minutos
everybody,todos,todo o mundo
bit,poco,pouco
couple,Pareja,casal
whoa,whoa,Uau
either,cualquiera,ou
Mrs.,Señora.,Sra.
feeling,sentimiento,sentindo-me
daughter,hija,filha
wow,Guau,Uau
gets,obtiene,recebe
asked,preguntó,Perguntou
under,bajo,debaixo
break,pausa,quebrar
promise,promesa,promessa
door,puerta,porta
set,colocar,definir
close,cerrar,perto
hand,mano,mão
easy,fácil,fácil
question,pregunta,pergunta
doctor,médico,médico
tried,intentado,testado
far,lejos,distante
walk,caminar,andar
needs,necesidades,precisa
trouble,problema,dificuldade
mine,Mia,minha
though,sin embargo,Apesar
times,veces,vezes
different,diferente,diferente
killed,delicado,morto
hospital,hospital,hospital
anybody,cualquiera,qualquer pessoa
Sam,Sam,Sam.
alright,está bien,tudo bem
wedding,boda,Casamento
shut,cerrar,fechar
able,poder,capaz
die,morir,morrer
perfect,Perfecto,perfeito
police,policía,polícia
stand,pararse,ficar
comes,viene,vem
hit,pegar,bater
story,historia,história
ya,ya,ya.
waiting,esperando,espera
dinner,cena,jantar
against,en contra,contra
funny,divertido,engraçado
husband,marido,esposo
almost,casi,quase
stupid,estúpido,estúpido
pay,pagar,pagar
answer,respuesta,responder
four,cuatro,Quatro.
office,oficina,escritório
cool,Genial,frio
eyes,ojos,olhos
news,noticias,notícia
child,niño,filho
shouldn't,no debería,não deveria
half,medio,metade
side,lado,lado
yours,tuyo,Sua
moment,momento,momento
sleep,dormir,dorme
read,leer,ler
where's,donde esta,Onde está a
started,empezado,começado
young,joven,novo
men,hombres,homens
sounds,sonidos,sons
sonny,hijo,sonny
lucky,afortunado,por sorte
pick,elegir,escolha
sometimes,algunas veces,às vezes
em,em,em.
bed,cama,cama
also,además,tb
date,fecha,Encontro: Data
line,línea,linha
plan,plan,plano
hours,horas,horas
lose,perder,perder
fire,fuego,incêndio
free,libre,gratuitamente
hands,las manos,mãos
serious,grave,sério
Leo,León,Leo.
shit,mierda,merda
behind,detrás,atrás
inside,dentro,dentro
high,elevado,Alto
ahead,adelante,à frente
week,semana,semana
wonderful,maravilloso,Maravilhoso
T.,T.,T.
fight,lucha,lutar
past,pasado,passado
cut,recorte,cortar
quite,bastante,bastante
number,número,número
he'll,infierno,inferno
sick,enfermo,doente
S.,S.,S.
it'll,va,Vai
game,juego,jogos
eat,comer,comer
nobody,nadie,ninguém
goes,va,vai
death,muerte,morte
along,a lo largo de,junto
save,salvar,Salve 
seems,parece,parece
finally,por fin,finalmente
lives,vive,vidas
worried,preocupado,preocupado
upset,disgustado,chateado
Theresa,Hay una,Há um
Carly,Carly,Carly
Ethan,Ethan,Ethan.
met,reunió,conheceu
book,libro,livro
brought,trajo,trouxeram
seem,parecer,parecer
sort,clasificar,ordenar
safe,a salvo,seguro
living,viviendo,vivo
children,niños,crianças
weren't,no estaban,não eram
leaving,partida,deixando
front,parte delantera,frente
shot,Disparo,tomada
loved,amado,amavam
asking,preguntando,Perguntando
running,corriendo,corrida
clear,claro,Claro
figure,figura,figura
hot,caliente,quente
felt,sintió,sentido
six,seis,seis
parents,padres,pais
drink,beber,bebida
absolutely,absolutamente,absolutamente
how's,Como es,como está
daddy,papá,Papai
sweet,dulce,doce
alive,viva,vivo
Paul,Paul,Paulo
sense,sentido,senso
meant,quiso decir,significou
happens,sucede,acontece
David,David,David.
special,especial,especial
bet,apuesta,aposta
blood,sangre,sangue
ain't,no es,Não
kidding,es una broma,brincando
lie,mentir,mentira
full,completo,cheio
meeting,cita,encontro
dear,Estimado,caro
coffee,café,café
seeing,vidente,vendo
sound,sonido,som
fault,culpa,falta
water,agua,agua
fuck,Mierda,Porra
ten,diez,dez
women,mujeres,mulheres
john,Juan,John
welcome,bienvenidos,bem-vinda
buy,comprar,Comprar
months,meses,meses
hour,hora,hora
speak,hablar,falar
lady,dama,Senhora
Jen,Jen,Jen
thinks,cree,pensa
Christmas,Navidad,Natal
body,cuerpo,corpo
order,orden,pedido
outside,fuera de,lado de fora
hang,colgar,aguentar
possible,posible,possível
worse,peor,pior
company,empresa,companhia
mistake,error,erro
ooh,Oh,ooh.
handle,encargarse de,lidar com
spend,gastar,gastar
C.,C.,C.
totally,totalmente,totalmente
giving,donación,dando
control,control,ao controle
here's,Aquí está,aqui está
marriage,matrimonio,casado
realize,darse cuenta de,entender
D.,D.,D.
power,poder,potência
president,presidente,Presidente
unless,a no ser que,a não ser que
sex,sexo,sexo
girls,muchachas,garotas
send,enviar,enviar
needed,necesario,necessário
taken,tomado,ocupado
died,fallecido,morreu
scared,asustado,assustada
picture,imagen,foto
talked,habló,falou
Jake,Jake,Jake
Al,Alabama,Al.
ass,culo,bunda
hundred,centenar,centenas
changed,cambió,mudado
completely,completamente,completamente
explain,explicar,explique
playing,jugando,jogando
certainly,ciertamente,certamente
sign,firmar,assinar
boys,Niños,Rapazes
relationship,relación,relação
Michael,Miguel,Michael
loves,ama,O amor é
fucking,maldito,porra
hair,cabello,cabelo
lying,acostado,deitado
choice,elección,escolha
anywhere,en cualquier lugar,qualquer lugar
secret,secreto,segredo
future,futuro,futuro
weird,extraño,estranhas
luck,suerte,sorte
she'll,cáscara,Concha
max.,max.,max.
Luis,Luis,Luis.
turned,transformado,virado
known,conocido,conhecido
touch,tocar,tocar
kiss,Beso,beijo
crane,grua,guindaste
questions,preguntas,questões
obviously,obviamente,obviamente
wonder,preguntarse,maravilha
pain,dolor,dor
calling,vocación,Chamando
somewhere,algun lado,em algum lugar
throw,lanzar,lançar
straight,derecho,Em linha reta
grace,gracia,graça
cold,frío,frio
white,blanco,Branco
fast,rápido,velozes
Natalie,Natalie,Natalie.
words,palabras,palavras
food,comida,Comida
none,ninguno,Nenhum
drive,conducir,dirigir
feelings,sentimientos,sentimentos
they'll,Ellos,eles vão
worked,trabajó,trabalhado
marry,casar,casar
light,luz,luz
test,prueba,teste
drop,soltar,derrubar
cannot,no poder,não pode
Frank,Franco,Frank.
sent,enviado,enviado
city,ciudad,cidade
dream,sueño,Sonhe
protect,proteger,proteger
twenty,veinte,vinte
class,clase,aula
Lucy,Lucy,Lucy.
surprise,sorpresa,surpresa
its,su,Está
sweetheart,cariño,amor
forever,para siempre,para todo sempre
poor,pobre,pobre
looked,miró,visto
mad,enojado,louco
except,excepto,exceto
gun,pistola,arma de fogo
y'know,ya sabes,sabe
dance,danza,dança
takes,acepta,leva
appreciate,agradecer,apreciar
especially,especialmente,especialmente
situation,situación,situação
besides,además,além do mais
weeks,semanas,semanas
pull,jalar,puxar
himself,él mismo,ele mesmo
hasn't,no tiene,não
act,Actuar,agir
worth,valor,que vale a pena
Sheridan,Sheridan,Sheridan.
amazing,increíble,surpreendente
top,cima,topo
given,dado,dado
expect,suponer,Espero
Ben,Ben,Ben.
rather,bastante,em vez de
Julian,Julian,Julian.
involved,involucrado,envolvido
swear,jurar,xingar
piece,trozo,pedaço
busy,ocupado,ocupado
law,ley,lei
decided,decidió,decidido
black,negro,Preto
Joey,Joey,Joey.
happening,sucediendo,acontecendo
movie,película,filme
we'd,casarse,Casar
catch,captura,captura
Antonio,Antonio,Antonio.
country,país,país
less,menos,menos
perhaps,quizás,talvez
step,paso,Passo
fall,otoño,cair
watching,mirando,assistindo
kept,conservó,mantido
darling,querida,querida
dog,perro,cachorro
Ms.,Milisegundo.,Em.
win,victoria,ganhar
air,aire,ar
honor,honor,honra
personal,personal,pessoal
moving,Moviente,movendo-se
till,hasta que,até
admit,admitir,Admitem
problems,problemas,problemas
murder,asesinato,assassinato
strong,fuerte,Forte
he'd,él,ele'd.
evil,maldad,mal
definitely,definitivamente,com certeza
feels,siente,sente
information,información,em formação
honest,honesto,honesto
eye,ojo,olho
broke,rompió,quebrado
missed,omitido,esquecidas
longer,más extenso,mais tempo
dollars,dólares,dólares.
tired,cansado,cansado
Jason,Jasón,Jason.
George,Jorge,George.
evening,noche,noite
human,humano,humano
starting,a partir de,iniciando
Ross,Ross,Ross.
red,rojo,vermelho
entire,completo,inteiro
trip,viaje,viagem
Brooke,Brooke,Brooke.
E.,MI.,E.
club,club,clube
Niles,Niles,Niles.
suppose,suponer,suponha que
calm,calma,calma
imagine,imagina,Imagine
Todd,Todd,Todd.
fair,justa,feira
caught,atrapó,apanhado
B.,B.,B.
blame,culpar,culpa
street,calle,rua
sitting,sentado,sentado
favor,favor,Favor
apartment,Departamento,apartamento
court,Tribunal,quadra
terrible,terrible,Terrível
clean,limpio,limpar
tony,tony,Tony
learn,aprender,aprender
Alison,Alison,Alison
Rick,Almiar,Rick.
works,obras,funciona
rose,Rosa,Rosa
Frasier,Frasier,Frasier.
relax,relajarse,relaxar
York,York,Iorque
million,millón,milhão
charity,caridad,caridade
accident,accidente,acidente
wake,despertarse,acordar
prove,probar,provar
Danny,Danny,Danny.
smart,inteligente,inteligente
message,mensaje,mensagem
missing,desaparecido,ausente
forgot,olvidó,esquecido
small,pequeño,pequeno
interested,interesado,interessado
table,mesa,tabela
nbsp,nbsp,nbsp.
become,volverse,tornar-se
Craig,Craig,Craig.
mouth,boca,boca
pregnant,embarazada,grávida
middle,medio,meio
billy,porra,Billy
ring,anillo,anel
careful,Cuidado,cuidadoso
shall,deberá,deve
dude,amigo,parceiro
team,equipo,equipe
ride,montar,passeio
figured,figurado,figurado
wear,vestir,vestem
shoot,disparo,atirar
stick,palo,grudar
ray,rayo,raio
follow,seguir,Segue
Bo,Bo,Bo.
angry,enfadado,Bravo
instead,en lugar de,em vez de
buddy,compañero,companheiro
write,escribir,Escreva
stopped,detenido,parou
early,temprano,cedo
angel,Ángel,anjo
nick,mella,usuario
ran,corrió,correu
war,guerra,guerra
standing,de pie,de pé
forgive,perdonar,perdoar
jail,celda,cadeia
wearing,agotador,vestindo
Miguel,Miguel,Miguel
ladies,señoras,senhoras
kinda,un poco,tipo
lunch,comida,almoço
Cristian,Cristiano,Cristian
eight,ocho,oito
Greenlee,Greenlee,Greenlee.
gotten,conseguido,pego
hoping,esperando,na esperança
Phoebe,Phoebe,Febe
thousand,mil,mil
ridge,cresta,cume
music,música,música
Luke,Lucero,Lucas
paper,papel,papel
tough,difícil,resistente
tape,cinta,fita
Emily,Emily,Emily
state,estado,Estado
count,contar,contar
college,Facultad,Faculdade
boyfriend,novio,namorado
proud,orgulloso,orgulhoso
agree,de acuerdo,aceita
birthday,cumpleaños,aniversário
bill,cuenta,conta
seven,Siete,Sete
they've,ellos han,Eles têm
Timmy,Timmy,Timmy.
history,historia,história
share,Cuota,compartilhado
offer,oferta,oferecer
hurry,apurarse,pressa
ow,Ay,ow.
feet,pies,pés
wondering,preguntarse,perguntando
simple,sencillo,simples
decision,decisión,decisão
building,edificio,construção
ones,unos,uns
finish,terminar,Finalizar
voice,voz,voz
herself,sí misma,ela mesma
Chris,Chris,Chris.
would've,habría,teria
list,lista,Lista
Kay,Kay,Kay.
mess,desorden,bagunça
deserve,merecer,merecer
evidence,evidencia,Evidência
cute,linda,bonitinho
Jerry,alemán,Jerry.
dress,vestir,vestir
Richard,Ricardo,Richard
interesting,interesante,interessante
Jesus,Jesús,Jesus
James,Jaime,James
hotel,hotel,hotel
enjoy,disfrutar,desfrutar
Ryan,Ryan,Ryan.
Lindsay,Lindsay,Lindsay.
quiet,tranquilo,quieto
concerned,preocupado,preocupado
road,la carretera,estrada
eve,víspera,véspera
staying,quedarse,ficando
short,pequeño,baixo
beat,derrotar,bater
sweetie,cariño,docinho
mention,mencionar,menção
clothes,ropa,roupas
finished,terminado,finalizado
fell,cayó,caiu
neither,ninguno de los dos,nenhum
fix,arreglar,consertar
victor,Víctor,vencedor
respect,respeto,respeito
spent,gastado,gasto
prison,prisión,prisão
attention,atención,atenção
holding,tenencia,segurando
calls,llamadas,Chamadas
near,cerca,perto
surprised,sorprendido,surpreso
bar,bar,Barra
Beth,Beth,Beth.
pass,pasar,passar
keeping,acuerdo,guardando
gift,regalo,Presente
hadn't,no tenía,não tinha
putting,poniendo,colocando
dark,oscuro,Sombrio
self,uno mismo,auto
owe,deber,dever
using,utilizando,usando
Nora,Nora,Nora.
ice,hielo,gelo
helping,Ayudar,Ajudando
bitch,perra,cadela
normal,normal,normal
aunt,tía,tia
lawyer,abogado,advogado
apart,aparte,separado
certain,cierto,certo
plans,planes,planos
Jax,Jax,JAX.
girlfriend,Novia,Namorada
floor,piso,piso
whether,ya sea,se
everything's,todo es,tudo
present,regalo,presente
earth,tierra,terra
private,privado,privado
Jessica,Jessica,Jessica.
box,caja,caixa
Dawson,Dawson,Dawson
cover,cubrir,cobrir
judge,juez,juiz
upstairs,piso de arriba,lá em cima
Alexis,Alexis,Alexis.
Shawn,Shawn,Shawn.
sake,motivo,interesse
mommy,mamá,mamãe
possibly,posiblemente,possivelmente
worst,peor,pior
station,estación,estação
acting,interino,agindo
accept,aceptar,aceitar
blow,soplo,golpe
strange,extraño,estranho
saved,salvado,salvou
ivy,hiedra,hera
conversation,conversacion,conversação
plane,avión,avião
mama,mamá,mamãe
yesterday,el dia de ayer,ontem
lied,mintió,mentiu
quick,rápido,rápido
lately,últimamente,ultimamente
stuck,atascado,grudou
lovely,encantador,adorável
security,seguridad,segurança
report,reporte,relatório
Barbara,Bárbara,Barbara.
difference,diferencia,diferença
rid,deshacerse,livrar
tv or TV,TV o TV,TV ou TV
Adam,Adán,Adão
store,Tienda,armazenar
bag,bolsa,saco
Mike,Miguel,Mike
bought,compró,comprou
ball,pelota,bola
single,único,solteiro
Kevin,Kevin,Kevin.
doubt,duda,dúvida
listening,escuchando,ouvindo
major,importante,maior
walking,para caminar,andando
cops,policías,policiais.
blue,azul,azul
deep,profundo,profundo
dangerous,peligroso,perigoso
Buffy,Buffy,Buffy
park,parque,Parque
sleeping,dormido,adormecido
Chloe,Chloe,Chloe.
Rafe,Rafe,Rafe
shh,shr,shh.
record,registro,registro
lord,señor,senhor
Erica,Erica,Érica
moved,movido,mudou-se
join,unirse,Junte
key,clave,chave
captain,capitán,capitão
card,tarjeta,cartão
crime,crimen,crime
gentlemen,caballeros,cavalheiros
willing,dispuesto,disposto
window,ventana,janela
return,regresar,Retorna
walked,caminó,caminhou
guilty,culpable,culpado
Brenda,Brenda,Brenda
likes,gustos,Gostos
fighting,lucha,brigando
difficult,difícil,difícil
soul,alma,alma
joke,broma,Piada
service,Servicio,serviço
magic,magia,Magia
favorite,favorito,favorito
uncle,tío,tio
promised,prometido,prometido
public,público,público
bother,molestar,irmão
island,isla,ilha
Jim,Jim,Jim.
seriously,seriamente,a sério
cell,celda,célula
lead,dirigir,liderar
knowing,conocimiento,sabendo
broken,roto,partido
advice,Consejo,adendo
somehow,de alguna manera,de alguma maneira
paid,pagado,pago
Blair,Blair,Blair
losing,perdiendo,Perder
push,empujar,Empurre
helped,ayudado,ajudou
killing,asesinato,matando
usually,generalmente,usualmente
earlier,más temprano,mais cedo
boss,jefe,chefe
Laura,Laura,Laura
beginning,comenzando,começo
liked,gustó,apreciado
innocent,inocente,inocente
doc,Doc,documento
rules,reglas,as regras
Elizabeth,Elizabeth,Elizabeth.
Sabrina,Sabrina,Sabrina
summer or Summer,verano o verano,Verão ou verão
ex,ex,ex
cop,policía,policial
learned,aprendió,aprendido
thirty,treinta,trinta
risk,riesgo,risco
letting,dejando,de locação
Phillip,Phillip,Phillip.
speaking,discurso,Falando
officer,oficial,Policial
ridiculous,ridículo,ridículo
support,apoyo,"Apoio, suporte"
afternoon,tarde,tarde
Eric,Eric,Eric.
born,Nació,nascido
dreams,Sueños,sonhos
apologize,pedir disculpas,peça desculpas
seat,asiento,assento
nervous,nervioso,nervoso
across,al otro lado de,através
song,canción,música
Olivia,Olivia,Olivia.
charge,cargar,cobrar
patient,paciente,paciente
Cassie,Cassie,Cassie
boat,bote,barco
how'd,Como,como
brain,cerebro,cérebro
hide,esconder,ocultar
detective,detective,detetive
Aaron,Aaron,Aaron.
Kendall,Kendall,Kendall.
general,general,em geral
Tom,Tomás,Tom
planning,planificación,planejamento
nine,nueve,nove
huge,enorme,enorme
breakfast,desayuno,café da manhã
horrible,horrible,horrível
age,edad,idade
awful,horrible,horrível
pleasure,Placer,prazer
driving,conduciendo,dirigindo
hanging,colgante,pendurado
picked,escogido,escolhido
system,sistema,sistema
sell,vender,vender
quit,renunciar,Sair
apparently,aparentemente,pelo visto
dying,moribundo,moribundo
notice,aviso,perceber
Josh,Josh,Josh.
congratulations,Felicidades,Parabéns
chief,jefe,chefe
faith,fe,fé
Simon,Simón,Simon.
gay,gay,gay
ho or Ho,ho o ho,ho ou ho.
one's,unos,uns
month,mes,mês
visit,visitar,Visita
Hal,Hal,Hal.
could've,podría haber tenido,poderia ter
c'mon,vamos,Vamos lá
aw,aw,aw.
Edmund,Edmund,Edmund.
Brady,Brady,Brady.
letter,carta,carta
decide,decidir,decidir
American,americano,americano
double,doble,Duplo
Troy,Troy,Troy
sad,triste,triste
press,Prensa,Aperte
forward,adelante,frente
fool,tonto,idiota
showed,presentado,mostrou
smell,oler,cheiro
seemed,pareció,pareceu
Mary,María,Mary
spell,deletrear,soletrar
Courtney,Courtney,Courtney.
memory,memoria,memória
Mark or mark,Marca o marca,Mark ou Mark
Alan,Alan,Alan.
pictures,fotos,As fotos
Paris,París,Paris
slow,lento,lento
Joe or joe,Joe o Joe,Joe ou Joe.
Tim,Tim,Tim.
seconds,segundos,segundos
hungry,hambriento,com fome
board,tablero,borda
position,posición,posição
hearing,audiencia,audição
Roz,Roz,Roz.
kitchen,cocina,cozinha
ma'am,señora,Ma'am.
Bob or bob,Bob o Bob,Bob ou Bob.
force,fuerza,força
fly,volar,voe
during,durante,no decorrer
space,espacio,espaço
should've,debería haber,deveria ter
realized,dio cuenta,percebeu
experience,experiencia,experiência
kick,patear,pontapé
others,otros,outras
grab,tomar,agarrar
mother's,madre,mãe
P.,pag.,P.
Sharon,Sharon,Sharon.
discuss,discutir,discutir
third,tercera,terceiro
cat or Cat,gato o gato,gato ou gato
fifty,cincuenta,cinquenta
responsible,responsable,responsável
Jennifer,Jennifer,Jennifer.
Philip,Philip,Philip
miles or Miles,millas o millas,milhas ou milhas
fat,gordo,gordura
reading,leyendo,lendo
idiot,idiota,idiota
yep,sí,Sim
rock,rock,Rocha
rich,Rico,rico
suddenly,repentinamente,De repente
agent,agente,agente
bunch,racimo,Monte
destroy,destruir,destruir
bucks,bucal,Bucks.
track,pista,acompanhar
shoes,Zapatos,sapatos
scene,escena,cena
peace,paz,Paz
arms,brazos,braços
demon,demonio,demônio
Diane,Diane,Diane.
Bridget,Bridget,Bridget
Brad,Puntilla,Brad
low,bajo,baixo
Livvie,Livvie,Livvie.
consider,considerar,considerar
papers,documentos,papéis
medical,médico,médico
incredible,increíble,incrível
witch,bruja,bruxa
er,er,er.
drunk,borracho,bêbado
attorney,abogado,advogado
Charlie,Charlie,Charlie.
tells,decir,Diz
knock,golpear,bater
Karen,Karen,Karen
ways,formas,maneiras
eh,eh,Eh
belle or Belle,Belle o Belle,Belle ou Belle.
cash or Cash,efectivo o efectivo,dinheiro ou dinheiro
